Date,III.L,ADM.L,AAF.L,AAL.L,ANTO.L,AHT.L,ABF.L,AZN.L,AUTO.L,AV.L,BME.L,BA.L,BARC.L,BDEV.L,BEZ.L,BKG.L,BP.L,BATS.L,BT-A.L,BNZL.L,BRBY.L,CNA.L,CCH.L,CPG.L,CTEC.L,CRDA.L,DCC.L,DGE.L,DPLM.L,ENT.L,EZJ.L,EXPN.L,FCIT.L,FLTR.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HLN.L,HLMA.L,HIK.L,HWDN.L,HSBA.L,IHG.L,IMI.L,IMB.L,INF.L,ICP.L,IAG.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MNG.L,MKS.L,MRO.L,MNDI.L,NG.L,NWG.L,NXT.L,OCDO.L,PSON.L,PSH.L,PSN.L,PHNX.L,PRU.L,RKT.L,REL.L,RTO.L,RMV.L,RIO.L,RR.L,RS1.L,SGE.L,SBRY.L,SDR.L,SMT.L,SGRO.L,SVT.L,SHEL.L,SMDS.L,SMIN.L,SN.L,SKG.L,SPX.L,SSE.L,STAN.L,STJ.L,TW.L,TSCO.L,ULVR.L,UU.L,UTG.L,VOD.L,WEIR.L,WTB.L,WPP.L
2021-08-18,1221.6728515625,3341.603515625,86.06832122802734,2834.911376953125,1316.3349609375,5442.24365234375,1929.1883544921875,8226.685546875,616.9049072265625,367.67401123046875,455.8636779785156,532.5994262695312,162.4638671875,584.9990844726562,376.3714599609375,4717.44189453125,270.5711669921875,2165.735107421875,151.7146759033203,2538.62646484375,1811.651123046875,48.41135025024414,2513.757080078125,1434.6939697265625,214.0608673095703,8878.6640625,5605.4130859375,3387.82861328125,2908.4453125,1798.388671875,808.01171875,3058.290283203125,855.7911987304688,13805.0,627.5,794.49365234375,286.0604553222656,1350.0467529296875,0.0,2916.463623046875,2389.383056640625,878.5292358398438,339.880859375,4269.8974609375,1707.6783447265625,1273.938232421875,540.6361694335938,1943.6632080078125,163.0,4955.685546875,192.27059936523438,319.89776611328125,615.5216064453125,230.4478302001953,38.95286178588867,7851.93896484375,168.619384765625,144.3817901611328,335.40826416015625,1809.80615234375,861.4275512695312,184.46469116210938,7274.51025390625,1880.5,712.4470825195312,2510.091552734375,2446.269775390625,511.2607421875,1364.75341796875,5186.6064453125,2079.668212890625,551.0103759765625,683.0956420898438,4576.43505859375,113.0,978.4248657226562,684.5362548828125,257.09600830078125,550.2608642578125,1334.3494873046875,1179.893310546875,2613.572509765625,1307.187255859375,379.1023254394531,1340.6015625,1279.3692626953125,3661.31787109375,15288.4736328125,1458.996826171875,419.47625732421875,1463.5755615234375,139.8070526123047,221.88482666015625,3740.58251953125,969.5027465820312,1157.075439453125,95.36113739013672,1565.161865234375,2895.47998046875,893.2201538085938
2021-08-19,1206.022216796875,3348.899658203125,85.43279266357422,2598.037109375,1257.701904296875,5373.37890625,1903.427490234375,8230.453125,615.3665771484375,361.6522521972656,454.8819274902344,527.7844848632812,159.34642028808594,576.2484741210938,372.0764465332031,4627.4765625,257.25048828125,2144.848876953125,149.83193969726562,2564.404296875,1691.7144775390625,47.76778793334961,2483.022216796875,1402.1849365234375,213.9656219482422,8840.103515625,5533.5966796875,3334.0830078125,2889.38623046875,1785.314697265625,794.3233642578125,3052.501708984375,849.052734375,13655.0,619.0,799.082763671875,276.0382385253906,1360.27099609375,0.0,2913.52587890625,2383.813720703125,864.1993408203125,334.591796875,4234.8828125,1687.6441650390625,1234.1748046875,519.1280517578125,1892.257568359375,159.82000732421875,4955.685546875,191.79556274414062,315.2757873535156,607.817138671875,225.20449829101562,38.22465133666992,7786.69287109375,164.23764038085938,142.14060974121094,325.1877746582031,1800.071044921875,869.8746948242188,182.7383575439453,7209.95458984375,1897.5,706.6548461914062,2476.3017578125,2391.62841796875,502.6005859375,1337.495361328125,5180.18115234375,2081.5849609375,556.0142822265625,682.90234375,4451.26416015625,111.22000122070312,975.5833129882812,688.1221313476562,255.7693634033203,541.43408203125,1326.936279296875,1181.7442626953125,2599.8935546875,1255.67578125,378.6745910644531,1309.19921875,1292.2041015625,3660.441650390625,15215.625,1465.226318359375,410.52569580078125,1436.489013671875,138.61953735351562,220.7089080810547,3746.510498046875,971.3089599609375,1140.2249755859375,95.0006332397461,1565.161865234375,2853.55810546875,871.7338256835938
2021-08-20,1213.3873291015625,3352.5478515625,85.79594421386719,2559.227294921875,1252.3309326171875,5324.8828125,1922.509521484375,8225.7421875,610.55908203125,361.3905029296875,465.1904602050781,531.3031005859375,159.72052001953125,579.4894409179688,371.4228515625,4660.974609375,257.33990478515625,2178.186279296875,151.8460235595703,2569.177734375,1703.3814697265625,48.7763557434082,2468.1201171875,1410.3121337890625,215.01309204101562,8905.6572265625,5528.072265625,3292.956298828125,2919.881103515625,1790.64111328125,792.5379028320312,3086.268310546875,856.75390625,13720.0,630.0,798.700439453125,278.285400390625,1361.888427734375,0.0,2950.740234375,2394.952880859375,870.4456787109375,336.3322448730469,4232.04345703125,1685.7362060546875,1265.04931640625,519.1280517578125,1930.36865234375,158.9199981689453,4963.2490234375,197.29808044433594,319.9866638183594,608.8444213867188,225.63430786132812,38.359825134277344,7825.64599609375,164.31588745117188,162.1618194580078,323.9101867675781,1808.9207763671875,870.4970703125,183.68785095214844,7309.5546875,1927.5,708.1495361328125,2452.1669921875,2392.46875,495.7679748535156,1344.427734375,5165.49267578125,2084.4599609375,562.1730346679688,682.5159301757812,4480.41357421875,110.16000366210938,982.2135009765625,693.7842407226562,260.63360595703125,546.9696655273438,1338.302978515625,1191.923828125,2605.36474609375,1262.7496337890625,376.10845947265625,1312.431884765625,1306.414306640625,3683.226318359375,15502.1630859375,1483.0244140625,413.1094055175781,1441.454833984375,138.85704040527344,222.9702911376953,3771.590576171875,978.533935546875,1146.309814453125,96.14484405517578,1554.1497802734375,2890.716064453125,877.872802734375
2021-08-23,1212.4666748046875,3361.667724609375,85.06963348388672,2597.144775390625,1278.2906494140625,5406.3564453125,1901.996337890625,8124.93408203125,613.6359252929688,365.2303771972656,474.6806945800781,529.6364135742188,160.86061096191406,575.1140747070312,369.7422180175781,4604.50634765625,263.7320251464844,2173.7685546875,147.24862670898438,2577.7705078125,1751.916259765625,48.81477737426758,2471.845703125,1408.8779296875,215.58441162109375,8907.5849609375,5599.888671875,3300.901123046875,2927.505126953125,1804.6834716796875,794.3233642578125,3094.951416015625,859.6419677734375,13700.0,635.5,809.0259399414062,285.3863220214844,1350.20556640625,0.0,2938.98828125,2379.171875,866.7713623046875,335.56817626953125,4249.07763671875,1679.05810546875,1266.26806640625,514.0443115234375,1912.6427001953125,160.4600067138672,4953.79443359375,197.02098083496094,320.8755187988281,609.8716430664062,228.29891967773438,38.33366394042969,7880.18017578125,165.88079833984375,163.25750732421875,322.8292236328125,1810.6910400390625,860.7161865234375,183.68785095214844,7322.46630859375,1958.5,722.1630859375,2408.722900390625,2363.88720703125,495.7679748535156,1381.8629150390625,5122.34765625,2089.251708984375,557.1690673828125,681.3565063476562,4504.41943359375,113.73999786376953,989.790771484375,692.2742919921875,300.6970520019531,547.8672485351562,1336.8204345703125,1193.7747802734375,2589.862548828125,1289.7747802734375,378.2469177246094,1315.20263671875,1289.912353515625,3692.865478515625,15584.7255859375,1454.992431640625,415.2316589355469,1437.391845703125,137.35289001464844,227.49301147460938,3753.3505859375,969.0511474609375,1128.054931640625,95.86270141601562,1580.9617919921875,2901.196533203125,879.8588256835938
2021-08-24,1217.06982421875,3363.491943359375,83.93476867675781,2668.96533203125,1316.7825927734375,5375.3193359375,1910.106201171875,8036.375,608.8283081054688,366.0158996582031,466.17218017578125,529.2660522460938,161.947265625,590.6708374023438,369.8356018066406,4634.17626953125,267.1739807128906,2159.30810546875,147.29241943359375,2553.902099609375,1730.9156494140625,49.29505157470703,2466.257568359375,1431.347412109375,212.82296752929688,8938.4345703125,5631.1943359375,3296.69482421875,2902.727783203125,1812.430908203125,836.578857421875,3093.986328125,858.6792602539062,13945.0,636.5,808.2611083984375,292.7569274902344,1333.4896240234375,0.0,2945.843505859375,2348.538818359375,857.2180786132812,331.45050048828125,4354.12158203125,1685.7362060546875,1238.6435546875,529.10009765625,1906.4384765625,164.74000549316406,4970.8115234375,198.92111206054688,315.9868469238281,612.7823486328125,230.8776092529297,38.16360092163086,7924.97607421875,164.00291442871094,170.03085327148438,328.9222412109375,1816.0010986328125,856.803955078125,184.0330810546875,7342.7548828125,1992.0,727.0211791992188,2399.068115234375,2416.007080078125,495.7679748535156,1405.43310546875,5103.07080078125,2087.3349609375,556.3992919921875,678.4579467773438,4638.16259765625,118.27999877929688,988.8436279296875,695.8602294921875,286.1044006347656,554.3004150390625,1339.2913818359375,1178.968017578125,2582.567138671875,1301.0201416015625,377.6481628417969,1311.0465087890625,1289.912353515625,3669.204833984375,15599.294921875,1469.2308349609375,413.38616943359375,1441.0032958984375,141.5091094970703,227.08596801757812,3723.2548828125,968.1480102539062,1121.0338134765625,95.92540740966797,1575.6951904296875,3032.67919921875,886.53955078125
2021-08-25,1217.5301513671875,3327.923583984375,85.20582580566406,2707.775390625,1313.6494140625,5408.29638671875,1905.3358154296875,8058.04248046875,607.6744384765625,367.3248596191406,473.3717346191406,525.9326171875,164.90440368652344,592.2913208007812,366.0074462890625,4619.8203125,266.7269592285156,2170.55517578125,148.91246032714844,2547.218994140625,1722.515380859375,49.179786682128906,2438.316650390625,1442.3428955078125,213.10862731933594,8811.18359375,5638.56005859375,3289.684814453125,2895.104248046875,1854.557861328125,826.262939453125,3087.233154296875,857.7166137695312,14435.0,650.0,799.2739868164062,295.67822265625,1332.591064453125,0.0,2928.215576171875,2327.1884765625,861.6273193359375,338.58209228515625,4356.96044921875,1703.8624267578125,1239.0498046875,526.94921875,1942.77685546875,163.4199981689453,4953.79443359375,202.58282470703125,317.5867614746094,616.3777465820312,233.88607788085938,38.822044372558594,7843.17431640625,164.23764038085938,178.74655151367188,337.373779296875,1806.265869140625,845.1558227539062,186.2773895263672,7447.888671875,2049.0,725.1527099609375,2428.03125,2410.962890625,503.0773620605469,1425.30615234375,5094.80859375,2074.87646484375,553.704833984375,679.2308349609375,4648.45068359375,116.4800033569336,996.4210815429688,699.8236083984375,285.7506408691406,561.0327758789062,1349.6697998046875,1171.5648193359375,2544.26611328125,1299.025146484375,377.47705078125,1322.59130859375,1295.871337890625,3698.12353515625,15511.875,1464.33642578125,426.21221923828125,1455.90087890625,142.77577209472656,227.53822326660156,3684.494384765625,954.6011962890625,1113.544677734375,96.37995910644531,1622.6165771484375,3051.73486328125,889.2478637695312
2021-08-26,1216.6094970703125,3331.571533203125,85.11503601074219,2671.1962890625,1277.843017578125,5412.17626953125,1887.6849365234375,8083.48095703125,610.0005493164062,367.1028137207031,471.0809631347656,526.8585815429688,164.36997985839844,595.0462036132812,368.5284118652344,4618.86279296875,265.11773681640625,2164.128173828125,148.34324645996094,2553.902099609375,1713.6485595703125,49.3911018371582,2442.97314453125,1433.737548828125,216.44142150878906,8724.4208984375,5627.51123046875,3295.92333984375,2912.25732421875,1854.557861328125,805.234375,3071.797119140625,853.865966796875,14375.0,656.5,799.6564331054688,292.21759033203125,1328.816650390625,0.0,2924.29833984375,2343.897705078125,870.261962890625,335.73797607421875,4309.64306640625,1707.6783447265625,1249.2060546875,523.0386352539062,1938.345458984375,161.72000122070312,4927.32421875,200.4055938720703,316.2535095214844,617.4152221679688,232.42481994628906,38.56913375854492,7769.1640625,162.43798828125,178.19869995117188,326.1706237792969,1795.6229248046875,839.0205078125,187.74484252929688,7394.3994140625,2067.0,719.173583984375,2442.512451171875,2423.57275390625,498.1514892578125,1415.6005859375,5102.15185546875,2085.418212890625,554.2821655273438,680.0038452148438,4557.57373046875,116.05999755859375,996.4210815429688,700.9560546875,282.83209228515625,559.6863403320312,1336.8204345703125,1171.1021728515625,2525.11572265625,1298.8436279296875,375.85186767578125,1312.431884765625,1294.037841796875,3670.0810546875,15599.294921875,1448.318115234375,423.6285705566406,1444.124267578125,143.0132598876953,228.84982299804688,3705.0146484375,950.537109375,1116.353271484375,96.00376892089844,1610.16796875,3013.623779296875,882.0256958007812
2021-08-27,1225.35546875,3336.13134765625,84.79727172851562,2751.492431640625,1308.72607421875,5445.15380859375,1882.9144287109375,8069.34814453125,606.8991088867188,365.1487731933594,470.2627868652344,528.71044921875,165.4922637939453,593.9118041992188,367.12786865234375,4615.03515625,270.4371337890625,2168.14501953125,148.8248748779297,2558.67578125,1727.64892578125,49.179786682128906,2445.767578125,1437.5621337890625,213.01341247558594,8728.2763671875,5669.8642578125,3301.603759765625,2919.881103515625,1849.2314453125,802.45703125,3088.197998046875,859.6419677734375,14260.0,662.5,808.6434936523438,298.9140319824219,1326.120361328125,0.0,2932.1328125,2342.969482421875,874.4874877929688,335.3134765625,4354.12158203125,1717.218505859375,1242.705810546875,521.6699829101562,1947.2083740234375,163.52000427246094,4944.34130859375,200.4055938720703,315.1868896484375,618.1068115234375,232.0809783935547,38.45139694213867,7813.9599609375,163.22044372558594,177.75047302246094,331.0842590332031,1811.687255859375,833.9522705078125,188.78067016601562,7342.7548828125,2038.0,716.5577392578125,2500.4375,2430.2978515625,499.740478515625,1411.4412841796875,5086.546875,2086.376708984375,556.9765625,676.5255737304688,4633.01806640625,116.73999786376953,1005.8927612304688,700.57861328125,274.5187072753906,561.3320922851562,1345.2218017578125,1186.371337890625,2524.203857421875,1318.4324951171875,376.9638671875,1315.6644287109375,1284.41162109375,3698.12353515625,15638.1474609375,1441.6439208984375,422.42901611328125,1458.219970703125,143.44866943359375,230.5232391357422,3689.054443359375,947.3761596679688,1142.09716796875,96.19186401367188,1615.91357421875,3056.49853515625,885.2755737304688
2021-08-31,1231.3394775390625,3293.26708984375,84.38871765136719,2738.10986328125,1303.355224609375,5518.86767578125,1889.1160888671875,8021.30029296875,609.6128540039062,358.93121337890625,457.3363342285156,526.3030395507812,164.69061279296875,598.7733154296875,365.5406188964844,4619.8203125,265.4753723144531,2192.24462890625,148.6935272216797,2516.667724609375,1735.5823974609375,49.909793853759766,2448.5615234375,1434.6939697265625,214.63218688964844,8818.8955078125,5690.12060546875,3307.75732421875,2921.787109375,1871.9898681640625,789.5621948242188,3091.09228515625,863.492431640625,14115.0,669.0,816.4832763671875,294.28497314453125,1313.8983154296875,0.0,2940.947021484375,2355.965087890625,868.6085205078125,327.88470458984375,4384.40478515625,1739.16064453125,1252.455810546875,519.1280517578125,1948.0946044921875,159.36000061035156,4982.15576171875,199.81179809570312,311.36480712890625,612.9197387695312,232.25291442871094,38.17668151855469,7747.740234375,161.18605041503906,178.79635620117188,335.11456298828125,1789.3756103515625,836.9754028320312,183.9468231201172,7294.798828125,2013.0,717.1181640625,2529.400146484375,2471.4892578125,495.29132080078125,1400.3494873046875,5084.71044921875,2091.168701171875,558.5162963867188,677.6849975585938,4614.15673828125,114.86000061035156,1007.7869262695312,700.389892578125,268.8585510253906,565.5211791992188,1353.129150390625,1188.22216796875,2518.732177734375,1298.2994384765625,378.4179992675781,1332.2891845703125,1278.910888671875,3652.554443359375,15647.8603515625,1452.7677001953125,419.6607971191406,1464.1309814453125,144.79449462890625,230.79458618164062,3689.966796875,955.0527954101562,1144.4375,95.58056640625,1677.198486328125,3056.49853515625,887.9840087890625
2021-09-01,1232.720458984375,3307.859375,85.06963348388672,2736.771484375,1283.66162109375,5577.06298828125,1908.197998046875,8023.1845703125,622.9874267578125,361.507080078125,454.0638427734375,524.2659912109375,163.8711700439453,601.852294921875,366.100830078125,4639.9189453125,263.0615539550781,2173.366455078125,147.6864776611328,2533.85302734375,1767.316650390625,50.10190963745117,2479.296630859375,1457.6412353515625,218.72677612304688,8872.880859375,5736.15771484375,3363.6123046875,2948.47021484375,1915.569580078125,790.355712890625,3125.823486328125,864.4549560546875,14260.0,679.5,806.9225463867188,295.9927673339844,1322.3458251953125,0.0,2981.099609375,2376.387451171875,879.6314697265625,328.3516540527344,4410.90185546875,1734.3907470703125,1249.2060546875,543.960205078125,2000.386474609375,159.83999633789062,5069.13134765625,205.8487091064453,315.4534912109375,627.6160278320312,234.4877471923828,38.39035415649414,7850.96533203125,163.06393432617188,183.77676391601562,343.385498046875,1795.6229248046875,841.4212646484375,183.60153198242188,7453.421875,2086.0,718.6129760742188,2548.708251953125,2468.967529296875,501.64727783203125,1411.252197265625,5126.9375,2103.627197265625,561.9805297851562,696.2357788085938,4571.291015625,114.94000244140625,1021.0475463867188,704.9194946289062,270.80426025390625,565.8202514648438,1368.4493408203125,1202.103271484375,2563.41650390625,1295.2161865234375,380.8985290527344,1339.2161865234375,1295.871337890625,3686.7314453125,15827.552734375,1470.5657958984375,422.7981262207031,1488.6849365234375,144.27992248535156,231.56344604492188,3688.142333984375,961.3745727539062,1152.8626708984375,95.81568908691406,1658.0467529296875,3076.507080078125,895.5674438476562
2021-09-02,1232.26025390625,3246.521728515625,84.8880615234375,2743.0166015625,1296.8397216796875,5654.65673828125,1874.3275146484375,8115.51318359375,622.0182495117188,365.6817321777344,441.7918701171875,526.1178588867188,165.20721435546875,574.7900390625,371.32952880859375,4562.3955078125,268.1126403808594,2184.211181640625,141.9944305419922,2531.943359375,1786.45068359375,50.17875289916992,2453.21826171875,1447.6015625,219.61614990234375,8930.7216796875,5767.4619140625,3366.452392578125,2931.31689453125,1887.000732421875,796.5055541992188,3137.40087890625,863.492431640625,14280.0,673.5,796.5970458984375,299.49591064453125,1326.6597900390625,0.0,2975.2236328125,2381.02880859375,882.5708618164062,328.776123046875,4426.990234375,1742.976806640625,1255.7059326171875,546.3065185546875,2032.2935791015625,159.83999633789062,5059.677734375,204.46319580078125,311.1870422363281,630.728271484375,237.75408935546875,38.045867919921875,7872.38916015625,160.9513397216797,182.0834197998047,368.07855224609375,1812.5797119140625,839.376220703125,184.7236785888672,7311.39892578125,2090.0,719.173583984375,2534.226806640625,2417.688232421875,497.83367919921875,1464.1385498046875,5131.52783203125,2111.294677734375,559.0936279296875,702.22607421875,4634.7333984375,114.23999786376953,1034.3077392578125,701.144775390625,268.9469909667969,569.560546875,1377.3450927734375,1209.0439453125,2561.593017578125,1319.883544921875,383.806884765625,1336.4453125,1291.745849609375,3693.7421875,16118.9462890625,1470.1207275390625,424.2744445800781,1509.146240234375,140.7570343017578,232.10618591308594,3612.4462890625,957.7621459960938,1152.8626708984375,95.031982421875,1709.7562255859375,3098.4208984375,901.3453369140625
2021-09-03,1229.4984130859375,3244.66015625,85.02424621582031,2757.737548828125,1290.498291015625,5561.54443359375,1873.37353515625,8016.58935546875,614.652587890625,366.8364562988281,448.0096130371094,522.4140625,164.51248168945312,576.4104614257812,375.6244812011719,4547.08154296875,265.1624755859375,2177.78466796875,141.9068603515625,2476.569091796875,1765.9166259765625,51.38903045654297,2455.0810546875,1430.8692626953125,217.22276306152344,8869.0234375,5796.92626953125,3342.3115234375,2908.4453125,1881.6741943359375,781.0317993164062,3132.5771484375,863.492431640625,14580.0,679.0,824.5142822265625,303.0445861816406,1328.99609375,0.0,2977.182373046875,2387.52685546875,880.7337646484375,326.3989562988281,4342.76611328125,1726.758544921875,1263.83056640625,537.3121948242188,1996.841552734375,155.8000030517578,5055.89599609375,204.36422729492188,309.7648620605469,635.7423095703125,239.8170166015625,37.858360290527344,7856.80810546875,158.3692169189453,181.8343963623047,376.58935546875,1820.61181640625,837.1531982421875,184.7236785888672,7298.48828125,2005.0,711.8865356445312,2495.6103515625,2412.644287109375,496.7214050292969,1464.6148681640625,5222.408203125,2099.7939453125,559.0936279296875,699.7139892578125,4636.4482421875,111.69999694824219,1024.836181640625,701.7109375,268.6816101074219,567.4660034179688,1359.0595703125,1199.3270263671875,2555.209228515625,1300.1134033203125,382.09613037109375,1329.980224609375,1283.0362548828125,3713.02099609375,15992.6767578125,1479.0198974609375,418.3689880371094,1518.6949462890625,140.40078735351562,231.29208374023438,3627.9501953125,953.6980590820312,1154.2669677734375,94.68714904785156,1680.5499267578125,3054.59326171875,894.1229858398438
2021-09-06,1232.720458984375,3266.998779296875,86.38607788085938,2746.58544921875,1299.5576171875,5613.92041015625,1871.465087890625,8144.71923828125,622.9874267578125,369.2345886230469,449.48223876953125,522.5992431640625,165.3141326904297,579.003173828125,376.9316711425781,4593.97900390625,266.81634521484375,2199.47412109375,144.31503295898438,2482.29736328125,1806.05126953125,49.98664093017578,2454.149658203125,1417.483154296875,216.64837646484375,8969.283203125,5890.84033203125,3371.658935546875,2946.56396484375,1887.000732421875,787.7767944335938,3196.251220703125,864.4549560546875,14600.0,676.0,820.3075561523438,307.7305908203125,1337.4439697265625,0.0,2993.831298828125,2416.30322265625,883.1220092773438,328.776123046875,4359.7998046875,1724.8505859375,1275.20556640625,542.2003784179688,2037.6114501953125,156.4199981689453,5129.6357421875,207.63009643554688,313.4980773925781,632.8031005859375,243.59906005859375,38.17668151855469,7987.30029296875,159.30816650390625,180.3402862548828,381.1842956542969,1829.536376953125,832.6184692382812,185.759521484375,7307.71044921875,2017.0,710.7654418945312,2476.3017578125,2419.36962890625,500.5349426269531,1480.3377685546875,5250.86572265625,2120.8779296875,570.4486694335938,706.86376953125,4575.5771484375,112.04000091552734,1041.885009765625,713.9786376953125,268.41632080078125,573.5999755859375,1378.3336181640625,1190.5357666015625,2565.240478515625,1308.8194580078125,384.6622314453125,1343.8341064453125,1279.3692626953125,3747.1982421875,16123.802734375,1468.785888671875,423.8131103515625,1538.70166015625,140.83619689941406,232.82981872558594,3649.83837890625,958.2136840820312,1144.4375,95.2984390258789,1691.5621337890625,3033.632080078125,907.755126953125
2021-09-07,1224.8951416015625,3253.037109375,84.25253295898438,2762.198974609375,1278.72119140625,5627.49951171875,1868.6029052734375,7979.84716796875,620.855224609375,365.6817321777344,442.2826843261719,515.5621948242188,165.11814880371094,574.1417236328125,374.5974426269531,4458.0732421875,266.7716064453125,2187.0234375,144.18368530273438,2499.482421875,1812.117919921875,50.005855560302734,2411.30712890625,1413.1805419921875,215.8824920654297,8838.1748046875,5892.68212890625,3328.584716796875,2931.31689453125,1887.968994140625,771.707763671875,3175.990966796875,863.492431640625,14780.0,673.0,811.1292114257812,307.1846618652344,1321.806884765625,0.0,2973.2646484375,2391.239990234375,869.710693359375,324.74334716796875,4318.1611328125,1718.1724853515625,1260.98681640625,537.1167602539062,2006.5909423828125,154.86000061035156,5080.47607421875,206.14561462402344,309.0538024902344,634.359130859375,237.75408935546875,37.71882629394531,7985.35302734375,157.8214874267578,186.3665771484375,378.3873291015625,1841.1380615234375,827.3723754882812,184.37838745117188,7326.15478515625,1965.0,710.01806640625,2456.993896484375,2379.859375,505.9375305175781,1479.385009765625,5364.69580078125,2113.211181640625,561.4031372070312,715.3663330078125,4595.2958984375,110.87999725341797,1047.5679931640625,710.0153198242188,266.4706726074219,571.6550903320312,1385.74658203125,1189.1474609375,2558.856689453125,1307.91259765625,395.4399108886719,1313.8172607421875,1268.367919921875,3772.612060546875,16012.1015625,1450.5430908203125,423.6285705566406,1512.3291015625,139.3716278076172,233.73435974121094,3637.982666015625,953.6980590820312,1132.267578125,95.83136749267578,1649.907470703125,3106.043212890625,898.4563598632812
2021-09-08,1202.3397216796875,3250.244873046875,85.02424621582031,2718.927734375,1266.4912109375,5571.244140625,1840.93408203125,7832.8740234375,620.2738037109375,361.2405700683594,472.880859375,513.8955078125,162.48167419433594,554.3717651367188,367.5013732910156,4333.1748046875,266.6375732421875,2187.424560546875,144.3588409423828,2463.202880859375,1779.9169921875,49.0837287902832,2416.89501953125,1379.2374267578125,212.81895446777344,8851.671875,5854.01123046875,3325.271240234375,2931.31689453125,1849.7156982421875,782.6188354492188,3154.7666015625,857.7166137695312,14500.0,668.0,812.4677124023438,304.0909729003906,1305.809814453125,0.0,2985.01708984375,2343.897705078125,868.4247436523438,323.08782958984375,4308.697265625,1700.0462646484375,1261.393310546875,524.9939575195312,1970.2523193359375,153.10000610351562,5023.7529296875,204.36422729492188,309.3204345703125,612.055419921875,237.5821533203125,36.98188781738281,7983.4052734375,155.74798583984375,185.2708740234375,368.1983947753906,1793.837890625,843.021728515625,181.52987670898438,7324.310546875,1946.0,710.2049560546875,2437.68505859375,2284.026123046875,501.32952880859375,1458.8975830078125,5337.15576171875,2111.294677734375,567.5618286132812,713.6271362304688,4548.142578125,111.26000213623047,1032.413330078125,708.3165893554688,266.55908203125,566.418701171875,1368.4493408203125,1175.729248046875,2589.862548828125,1300.657470703125,386.8006896972656,1347.528564453125,1255.532958984375,3690.236328125,15885.8330078125,1454.5474853515625,417.53851318359375,1494.5958251953125,134.02792358398438,232.468017578125,3668.534423828125,954.1495971679688,1108.3958740234375,95.48652648925781,1642.2469482421875,3097.468017578125,885.9979248046875
2021-09-09,1204.18115234375,3233.490966796875,85.75055694580078,2701.530517578125,1267.8499755859375,5573.18408203125,1841.4111328125,7729.23974609375,616.9786376953125,359.6418151855469,478.1169738769531,514.8213500976562,161.87600708007812,559.5572509765625,375.9045715332031,4361.408203125,263.46380615234375,2139.225341796875,141.1625213623047,2451.74609375,1786.9171142578125,49.0837287902832,2311.650634765625,1374.9346923828125,217.03131103515625,8897.6796875,5653.29150390625,3301.13037109375,2917.97509765625,1860.8526611328125,702.4722900390625,3137.40087890625,852.9033813476562,14470.0,667.5,807.4961547851562,302.22564697265625,1282.263916015625,0.0,2995.789794921875,2339.256103515625,871.7317504882812,319.60693359375,4350.3359375,1715.310546875,1241.080810546875,518.9325561523438,1992.4097900390625,151.47999572753906,5048.33251953125,204.56216430664062,311.7203369140625,612.228271484375,236.12094116210938,37.06910705566406,7880.18017578125,157.9779815673828,183.82656860351562,358.4969177246094,1789.3756103515625,838.487060546875,180.32139587402344,7265.28857421875,1911.0,710.3917236328125,2408.722900390625,2303.36083984375,501.8061218261719,1414.58740234375,5238.93115234375,2095.002197265625,565.63720703125,711.6947631835938,4426.4013671875,111.0199966430664,1039.9908447265625,698.8800048828125,262.57928466796875,567.166748046875,1365.978515625,1181.2816162109375,2562.50439453125,1285.7843017578125,389.02459716796875,1326.2857666015625,1247.281982421875,3655.18359375,15914.970703125,1440.30908203125,409.1415710449219,1490.0489501953125,133.8300018310547,230.34231567382812,3616.550048828125,946.9246826171875,1104.6513671875,93.16676330566406,1636.50146484375,3136.53173828125,882.5671997070312
